job_id,n_maps,Reduces,MaxMapTime,MinMapTime,AvgMapTime,MedianMapTime,MaxReduceTime,MinReduceTime,AvgReduceTime,MedianReducetime,Alias,Type,Outputs,Inputs,DagId,runtime,queuetime,maptime,name
job_1569357382192_0140,52,1,12,6,11,11,120,120,120,120,LineItems|PriceSummary|StatusGroup|SubLine|SubLineItems,GROUP_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp418975518/tmp-1478562430'],['s3a://data/tpch-2G/lineitem'],77b68751-1f47-40b0-951a-44e145111cf2,150,4,11,PigLatin:Q1.pig
job_1569357382192_0141,1,1,3,3,3,3,3,3,3,3,SortedSummary,SAMPLER,['hdfs://kariz-1:9000/tmp/temp418975518/tmp609852633'],['hdfs://kariz-1:9000/tmp/temp418975518/tmp-1478562430'],77b68751-1f47-40b0-951a-44e145111cf2,11,5,3,PigLatin:Q1.pig
job_1569357382192_0142,1,1,3,3,3,3,3,3,3,3,SortedSummary,ORDER_BY,['/tpch/q6_2g_1rep_s3/Q1out'],['hdfs://kariz-1:9000/tmp/temp418975518/tmp-1478562430'],77b68751-1f47-40b0-951a-44e145111cf2,11,8,3,PigLatin:Q1.pig
job_1569357382192_0143,2,1,4,4,4,4,3,3,3,3,FR_N|FRegion|Nation|Region,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp892475088/tmp401080626'],"['s3a://data/tpch-2G/region', 's3a://data/tpch-2G/nation']",614a9ff8-f0e4-44b3-8425-594cd33d0db9,12,4,4,PigLatin:Q2.pig
job_1569357382192_0144,2,1,45,3,24,24,40,40,40,40,FR_N_S|Supplier,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp892475088/tmp363779118'],"['s3a://data/tpch-2G/supplier', 'hdfs://kariz-1:9000/tmp/temp892475088/tmp401080626']",614a9ff8-f0e4-44b3-8425-594cd33d0db9,48,7,24,PigLatin:Q2.pig
job_1569357382192_0145,9,1,14,3,12,14,31,31,31,31,FR_N_S_PS|Partsupp,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp892475088/tmp1937654141'],"['hdfs://kariz-1:9000/tmp/temp892475088/tmp363779118', 's3a://data/tpch-2G/partsupp']",614a9ff8-f0e4-44b3-8425-594cd33d0db9,39,6,12,PigLatin:Q2.pig
job_1569357382192_0146,3,1,39,8,22,19,32,32,32,32,FPart|FR_N_S_PS_FP|Part,HASH_JOIN,['hdfs://kariz-1:9000/tmp/temp892475088/tmp-602038497'],"['hdfs://kariz-1:9000/tmp/temp892475088/tmp1937654141', 's3a://data/tpch-2G/part']",614a9ff8-f0e4-44b3-8425-594cd33d0db9,45,7,22,PigLatin:Q2.pig
job_1569357382192_0147,1,1,3,3,3,3,3,3,3,3,G1|Min|MinCost|RawResults,GROUP_BY,['hdfs://kariz-1:9000/tmp/temp892475088/tmp1866740557'],['hdfs://kariz-1:9000/tmp/temp892475088/tmp-602038497'],614a9ff8-f0e4-44b3-8425-594cd33d0db9,11,9,3,PigLatin:Q2.pig
job_1569357382192_0148,1,1,3,3,3,3,3,3,3,3,SortedMinimumCostSupplier,SAMPLER,['hdfs://kariz-1:9000/tmp/temp892475088/tmp-1133234222'],['hdfs://kariz-1:9000/tmp/temp892475088/tmp1866740557'],614a9ff8-f0e4-44b3-8425-594cd33d0db9,11,7,3,PigLatin:Q2.pig
job_1569357382192_0149,1,1,3,3,3,3,3,3,3,3,SortedMinimumCostSupplier,ORDER_BY|COMBINER,['hdfs://kariz-1:9000/tmp/temp892475088/tmp1613419486'],['hdfs://kariz-1:9000/tmp/temp892475088/tmp1866740557'],614a9ff8-f0e4-44b3-8425-594cd33d0db9,11,5,3,PigLatin:Q2.pig
