FILE_BYTES_READ,FILE_BYTES_WRITTEN,FILE_LARGE_READ_OPS,FILE_READ_OPS,FILE_WRITE_OPS,HDFS_BYTES_READ,HDFS_BYTES_WRITTEN,HDFS_LARGE_READ_OPS,HDFS_READ_OPS,HDFS_WRITE_OPS,S3A_BYTES_READ,S3A_BYTES_WRITTEN,S3A_LARGE_READ_OPS,S3A_READ_OPS,S3A_WRITE_OPS,avgMapTime,avgMergeTime,avgReduceTime,avgShuffleTime,bandwidth,datasize,diagnostics,failedMapAttempts,failedReduceAttempts,finishTime,id,inputs,killedMapAttempts,killedReduceAttempts,map.cpu,map.memory,mapsCompleted,mapsTotal,name,output,queue,queue time,reduce.cpu,reduce.memory,reducesCompleted,reducesTotal,runtime,startTime,state,submitTime,successfulMapAttempts,successfulReduceAttempts,type,uberized,user
21406,13412461,0,0,0,32444,314,0,55,2,1520346495.0,0.0,0.0,256.0,0.0,11373,36,449,119773,10,1520378939,,0,0,1570048581213,job_1569357382192_0140,['tpch_2G_lineitem'],0,0,1,4096,52,52,PigLatin:Q1.pig,['tmp-1478562430'],default,4984,1,8192,1,1,150519,1570048430694,SUCCEEDED,1570048425710,52,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
114,476933,0,0,0,716,61,0,5,2,,,,,,3102,30,424,2966,40,716,,0,0,1570048604414,job_1569357382192_0141,['tmp-1478562430'],0,0,1,4096,1,1,PigLatin:Q1.pig,['tmp609852633'],default,5913,1,8192,1,1,11607,1570048592807,SUCCEEDED,1570048586894,1,1,['SAMPLER'],False,ubuntu
334,472735,0,0,0,716,582,0,5,2,,,,,,3354,34,413,2788,40,716,,0,0,1570048627647,job_1569357382192_0142,['tmp-1478562430'],0,0,1,4096,1,1,PigLatin:Q1.pig,[],default,8705,1,8192,1,1,11428,1570048616219,SUCCEEDED,1570048607514,1,1,['ORDER_BY'],False,ubuntu
2584,714859,0,0,0,726,747,0,5,2,2583.0,0.0,0.0,2.0,0.0,4387,28,409,2700,10,3309,,0,0,1570048664862,job_1569357382192_0143,"['tpch_2G_region', ' tpch_2G_nation']",0,0,1,4096,2,2,PigLatin:Q2.pig,['tmp401080626'],default,4835,1,8192,1,1,12285,1570048652577,SUCCEEDED,1570048647742,2,1,['HASH_JOIN'],False,ubuntu
3124016,6956493,0,0,0,17985,1175770,0,6,2,2806802.0,0.0,0.0,256.0,0.0,24123,80,458,39913,10,2824787,,0,0,1570048725305,job_1569357382192_0144,"['tpch_2G_supplier', 'tmp401080626']",1,0,1,4096,2,2,PigLatin:Q2.pig,['tmp363779118'],default,7253,1,8192,1,1,48626,1570048676679,SUCCEEDED,1570048669426,2,1,['HASH_JOIN'],False,ubuntu
255600755,513561613,0,0,0,1195150,140749061,0,13,2,237578674.0,0.0,0.0,256.0,0.0,12330,1788,4935,24962,10,238773824,,0,0,1570048776941,job_1569357382192_0145,"['tmp363779118', ' tpch_2G_partsupp']",0,0,1,4096,9,9,PigLatin:Q2.pig,['tmp1937654141'],default,6530,1,8192,1,1,39834,1570048737107,SUCCEEDED,1570048730577,9,1,['HASH_JOIN'],False,ubuntu
287557996,432397390,0,0,0,140764558,719463,0,7,2,48124317.0,0.0,0.0,256.0,0.0,22449,728,2883,28833,10,188888875,,0,0,1570048834794,job_1569357382192_0146,"['tmp1937654141', ' tpch_2G_part']",1,0,1,4096,3,3,PigLatin:Q2.pig,['tmp-602038497'],default,7454,1,8192,1,1,45639,1570048789155,SUCCEEDED,1570048781701,3,1,['HASH_JOIN'],False,ubuntu
730409,1941215,0,0,0,719864,166819,0,5,2,,,,,,3216,42,529,2906,40,719864,,0,0,1570048858280,job_1569357382192_0147,['tmp-602038497'],0,0,1,4096,1,1,PigLatin:Q2.pig,['tmp1866740557'],default,9198,1,8192,1,1,11647,1570048846633,SUCCEEDED,1570048837435,1,1,['GROUP_BY'],False,ubuntu
10620,498631,0,0,0,167220,100,0,5,2,,,,,,3191,34,442,2892,40,167220,,0,0,1570048882159,job_1569357382192_0148,['tmp1866740557'],0,0,1,4096,1,1,PigLatin:Q2.pig,['tmp-1133234222'],default,7536,1,8192,1,1,11561,1570048870598,SUCCEEDED,1570048863062,1,1,['SAMPLER'],False,ubuntu
18620,521955,0,0,0,167220,17944,0,5,2,,,,,,3386,34,435,2945,40,167220,,0,0,1570048906217,job_1569357382192_0149,['tmp1866740557'],0,0,1,4096,1,1,PigLatin:Q2.pig,['tmp1613419486'],default,5991,1,8192,1,1,11590,1570048894627,SUCCEEDED,1570048888636,1,1,"['ORDER_BY', 'COMBINER']",False,ubuntu
18620,508105,0,0,0,18345,16634,0,5,2,,,,,,3300,32,404,2777,40,18345,,0,0,1570048929918,job_1569357382192_0150,['tmp1613419486'],0,0,1,4096,1,1,PigLatin:Q2.pig,[],default,9319,1,8192,1,1,11381,1570048918537,SUCCEEDED,1570048909218,1,1,['UDF'],False,ubuntu
50439394,104222204,0,0,0,36018,5916146,0,16,2,391263610.0,0.0,0.0,512.0,0.0,14379,994,3788,29198,10,391299628,,0,0,1570049009364,job_1569357382192_0151,"['tpch_2G_orders', ' tpch_2G_customer']",2,0,1,4096,13,13,PigLatin:Q3.pig,['tmp190479574'],default,5245,1,8192,1,1,56227,1570048953137,SUCCEEDED,1570048947892,13,1,['HASH_JOIN'],False,ubuntu
222044098,457025708,0,0,0,5948990,1789798,0,57,2,1520346495.0,0.0,0.0,256.0,0.0,8170,3685,12910,92010,10,1526295485,,0,0,1570049155135,job_1569357382192_0152,"['tpch_2G_lineitem', 'tmp190479574']",0,0,1,4096,53,53,PigLatin:Q3.pig,['tmp939710845'],default,6994,1,8192,1,1,133849,1570049021286,SUCCEEDED,1570049014292,53,1,['HASH_JOIN'],False,ubuntu
857182,2203257,0,0,0,1790198,675176,0,5,2,,,,,,4659,66,815,2708,40,1790198,,0,0,1570049180198,job_1569357382192_0153,['tmp939710845'],0,0,1,4096,1,1,PigLatin:Q3.pig,['tmp84791227'],default,7247,1,8192,1,1,12761,1570049167437,SUCCEEDED,1570049160190,1,1,"['GROUP_BY', 'COMBINER']",False,ubuntu
5906,487753,0,0,0,675575,77,0,5,2,,,,,,3444,31,417,2653,40,675575,,0,0,1570049203076,job_1569357382192_0154,['tmp84791227'],0,0,1,4096,1,1,PigLatin:Q3.pig,['tmp1758266159'],default,6046,1,8192,1,1,11279,1570049191797,SUCCEEDED,1570049185751,1,1,['SAMPLER'],False,ubuntu
